,poi_id,name,review_count,rating,price,distance,full_address,station_id
15,xUy8292rGVB_picXiGeQoQ,Bronzie's Place,28.0,4.5,$$,484.38701872868455,"['201 James Street S', 'Hamilton, ON L8P 3A8', 'Canada']",a386509756e2c2e15483eaaf344fb412
16,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,$$,1051.387659578622,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']",a386509756e2c2e15483eaaf344fb412
17,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,927.8126358476396,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",a386509756e2c2e15483eaaf344fb412
18,RRnbO5NZq716CC8emwWedg,Mulberry Coffeehouse,76.0,4.0,$$,1116.1249467368852,"['193 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",a386509756e2c2e15483eaaf344fb412
19,PAVNadox4HMXl-xdsjbjhg,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,41.0,4.0,$$,772.7644556670533,"['43 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",a386509756e2c2e15483eaaf344fb412
0,9oIPWjU3DvtSdORv6I2toQ,The Ship,209.0,4.0,$$,325.59653006692037,"['23 Augusta Street', 'Hamilton, ON L8N 1P6', 'Canada']",3527ca2c4e22a011c0615126afce23d5
1,zldX2jhIDUBJzaEPYiSWUQ,Radius,93.0,3.0,$$$,317.78866404934166,"['151 James Street S', 'Hamilton, ON L8P 2Z5', 'Canada']",3527ca2c4e22a011c0615126afce23d5
2,xUy8292rGVB_picXiGeQoQ,Bronzie's Place,28.0,4.5,$$,114.0969289461295,"['201 James Street S', 'Hamilton, ON L8P 3A8', 'Canada']",3527ca2c4e22a011c0615126afce23d5
3,bHecMQ85o3ayw1t9hRA90g,The French,98.0,4.0,$$$,941.4376525109847,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",3527ca2c4e22a011c0615126afce23d5
4,752Fv2jKafftvoS3Twkqyg,Hambrgr,202.0,4.0,$$,940.0071220833929,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",3527ca2c4e22a011c0615126afce23d5
5,h2mI1wBIK1PyaNupaL58gw,The Mule,179.0,4.0,$$,930.0929839065402,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",3527ca2c4e22a011c0615126afce23d5
6,71IHvl03cYIvtEk_vjfjCg,One Duke Tavern,23.0,3.5,$$,226.8046205730643,"['1 Duke Street', 'Hamilton, ON L8P 1W9', 'Canada']",3527ca2c4e22a011c0615126afce23d5
7,xwVB61hW9rpyp6wALR4Apg,Berkeley North,42.0,4.5,$$$,932.6804931984552,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",3527ca2c4e22a011c0615126afce23d5
8,ccvY3bOziuqDnBZSAI6CoQ,Bon Temps,7.0,5.0,,296.2399132747136,"['61 Young Street', 'Hamilton, ON L8N 1V1', 'Canada']",3527ca2c4e22a011c0615126afce23d5
